Submission ID,Submission time,Business / Service Category Selection,Name of Business / User,Phone,City / Nearby Village,Address,Business Details,Place ID,Ratings,Reviews,Verified,Webpage
,,Accounting Services,CA J M JADEJA & ASSOCIATES,096019 81743,Bhuj,"208, 2nd Floor, Laxmi Chambers, Station Rd, above Darshan Auto, Jestha Nagar, Bhuj, Gujarat 370001, India",,ChIJLfGQrlnhUDkRQs3Hzx65K9A,,,,
,,Accounting Services,Deep Koradia & Associates,094290 42996,Bhuj,"Office No 204, 2nd Floor, PLATINUM ONE, behind Reliance Smart Mall, Bhanusali Nagar, Nirmalsinh Vadi, Bhuj, Gujarat 370001, India",,ChIJL37EgPvhUDkRVOEsaNtOTzs,,,,
,,Accounting Services,Gayatri Accounting,095748 86115,Bhuj,"1st Floor, Raja commercial, near Gayatri Temple, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJs69EkaHhUDkRGk_-iyUrq0I,,,,
,,Accounting Services,Khatribhai,9427759760,Bhuj,,,,,,,
,,Accounting Services,Mahesh N. Vora & Co.,096876 76557,Bhuj,"opp. Sinchai Sadan, near IMA house, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJWfttJ54fUTkRzLszGDcjaE0,,,,
,,Accounting Services,NIRAV A MAJETHIYA AND ASSOCIATES,9099945332,Bhuj,,Accounting services,,,,,
,,Accounting Services,Sameer Kansara,9426265214,Bhuj,,,,,,,
,,Accounting Services,Printer world,9974987922,Bhuj,"203/221 shah commercial, station road,near navkar hotel ,bhuj",Printer repair & carttrige reffil|| new old printer sales service,,,,,
,,Accounting Services,Ramesh C Shah,8200211734,Bhuj,"Bhanushalinagar, Bhuj",Translation & Accounting,,,,,
,,Advocate / Lawyer,Hiren Suchday,9825252054,Bhuj,Bhanushalinagar,Motor Accident,,Yes,,Yes,
,,Advocate / Lawyer,Urmish Suchday,9825160058,Bhuj,Bhanushalinagar,Motor Accident,,Yes,,Yes,
,,Advocate / Lawyer,Rajeshbhai P. Thacker,9825226627,Bhuj,"The Address, Above HDFC Bank, University Road",Motor Accident,,Yes,,Yes,
,,Advocate / Lawyer,Hanifbhai Khatri,9824211394,Bhuj,,,,,,,
,,Advocate / Lawyer,Shahid Sameja,9825857335,Bhuj,,,,,,,
,,Advocate / Lawyer,Tarak Thacker,9825292580,Bhuj,,,,,,,
,,Advocate / Lawyer,Malhar Buch,9979349251,Bhuj,16 Orient Colony Opp VD School Bhuj,"Civil, Criminal, family, Revenue, Arbitration, Commercial",,,,,
,,Advocate / Lawyer,Chintal M. Thacker,9427434130,Bhuj,,,,,,,
,,Advocate / Lawyer,Mayur Purohit,9825730407,Bhuj,,,,,,,
,,Advocate / Lawyer,Gor Shilpa Jayantilal,9825747693,Bhuj,,Legal Services/ Lawyer,,,,,
,,Advocate / Lawyer,Haresh maheshwari,9428895873,Bhuj,,Legal Services/ Lawyer,,,,,
,,Advocate / Lawyer,HEENA THACKER,9825553321,Bhuj,,Legal Services/ Lawyer,,,,,
,,Agricultural Equipments,Parishram Agro Centre - Madhapar,097141 33364,Bhuj,"Navavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJ6XOj5p7hUDkRx5CJbo1IkVg,,,,
,,Agricultural Equipments,Dhriya Irrigation,8200586159,Bhuj,,,,,,,
,,Aluminium Fabrication,Manish Maru,9978967200,Bhuj,,,,,,,
,,Aluminium Fabrication,Danish aluminium works,090336 03138,Bhuj,"Bhid gate sural pidh road, Yusuf sah, bhavan sah marg, Madhapara, Bhuj, Gujarat 370001, India",,ChIJd6MSGfrjUDkRfCLjvyCXm8w,,,,
,,Aluminium Fabrication,GALAXY ALUMINIUM,097124 02376,Mirjapar Part,"Highway, behind Geeta Refrigeration, Mirjapar, Bhuj, Mirjapar Part, Gujarat 370040, India",,ChIJIV7tXj8fUTkR-jL_fc68UNM,,,,
,,Aluminium Fabrication,Tirth Aluminium,02832 220 916,Bhuj,"53, Beeng, New Station Road, New, Station Rd, Ghanshyam Nagar, Bhuj, Gujarat 370001, India",,ChIJiUTbUAceUTkRq__H7SsQWEQ,,,,
,,Ambulance,Ambulance service bhuj meera 24*7,091066 54263,Bhuj,"Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJ8V57V3UfUTkRdeeESDNvzw4,,,,
,,Ambulance,Hemal Ambulances 24/7,099792 54411,Bhuj,"201, Hospital Rd, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJhegW3PzhUDkRGYvbninC3j8,,,,
,,Ambulance,Parmarth Hospital,02832 250 885,Bhuj,"Neelkanth, Hospital Rd, opp. Rajaram Complex, Jalaram Society, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJRR08cPzhUDkRkZfUa6AuP30,,,,
,,Art & Crafts,Resin Art ( Jigna B Rudani ),9687635428,Bhuj,,"Resin Art, Keychain, Jewellery, Varmala, Shaving Tray",,,,,
,,Art & Crafts,Tangalia Technic (Whatsapp Only),7802895143,Bhuj,,,,,,,
,,Art & Crafts,Bhavana S Gadhavi,9978388674,Bhuj,,"Art for Holiday House, Clubs, Exhibitions",,,,,
,,Art & Crafts,JK Craft,9909356166,,,Handmade Jewellery,,,,,
,,Art & Crafts,Bhakti Chitnis,9619892141,Bhuj,,"Canvas Painting, Fabric Painting, Paper Art, Customized Gift Orders",,,,,
,,Art & Crafts,V B Creation,9409087745,Bhuj,,"Handmade Covers, Sweet Boxes, Paper Gift Bag, Customised Hand Made Items",,,,,
,,Art & Crafts,Kalalayam Arts & Crafts,9429821484,Bhuj,,"Decorated Garba, Diva, Blouse, Dupatta, Kurta, Mudwork, Painting",,,,,
,,Astrologer / Vaastu,Arvind Jobanputra,9879080623,Bhuj,,Astrologer / Vaastu,,,,,
,,Astrologer / Vaastu,"Kutch Vedic Astrology ( Jyotish ) à¤œà¥à¤¯à¥‹à¤¤à¤¿à¤· - Ajay , BHUJ",098796 31473,Bhuj,"1026-jashraj, kailash nagar, Sanskar Nagar, Bhuj, Gujarat 370001, India",,ChIJ30NpDK8fUTkRbrVv333mUKs,,,,
,,Astrologer / Vaastu,Shree Radhe jyotish-bhuj,081413 03114,Bhuj,"C/o Sompura Shilp, B/d Rajkot Nagrik Bank, Hospital Rd, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJLffBBnThUDkRZ2Mr5IyCjKg,,,,
,,Astrologer / Vaastu,Cosmic Vibes,7359701037,Bhuj,"Plot No. 2522, Old Ravalvadi Rd, Ravalvadi, Bhuj, Gujarat 370001",,,,,,
,,Ayurvedic Doctors,Dr Alap Antani,9428812871,Bhuj,,,,,,,
,,Ayurvedic Doctors,Dr. Nipun Buch,9825440280,Bhuj,,,,,,,
,,Ayurvedic Doctors,àªµà«ˆàª§ àª¸àª‚àª¦àª¿àªª àª àª•à«àª•àª°. àª†àª¯à«àª°à«àªµà«‡àª¦àª¿àª• àªµà«ˆàª§.,8758359073,Bhuj,,Ayurvedic,,,,,
,,Ayurvedic Doctors,Shashwat Ayurvedic Multispeciality Hospital,9426252623,Bhuj,"Hireshwar Complex, opposite LIC Office, Sanskar Nagar, Bhuj, Gujarat 370001",Ayurvedic,,,,,
,,Babysitters,Kidzee bhuj,084602 53000,Bhuj,"C140, Pramukh Swami Nagar, Bakali Colony, Bhuj, Gujarat 370040, India",,ChIJVzX7qiMfUTkRhsXouH92WMA,,,,
,,Bakery,Kabhi B Bake Studio,8511171787,Bhuj,"V D High School Rd, near Santoshi Mata Temple, near Ashapura Dosa Wala, Indira Nagar, Bhuj, Gujarat 370001",,,,,,
,,Bakery,LA BELLAZ,9408713838,Bhuj,"SHOP NO.1 46 / A VIJAYNAGAR, NR. KALPATRU APPT HOSPITAL ROAD, 46 a, Hospital Rd, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Bakery,The B16studio by bansari,7016592486,Bhuj,"Sheri no 3, Himmatnagar society, BANSI, B2, nr. Revenue Colony Street, opp. Kutch life care hospital, Bhuj, Gujarat 370001",,,,,,
,,Bakery,Delicious Delights,9624790220,Bhuj,,"Eggless Cakes, Brownies, Choclates",,,,,
,,Banks,Bank of Baroda,2832229712,Bhuj,"Station Road, Bhuj",Nationalized,,,,,
,,Banks,Bank Of India,2832255371,Bhuj,"Swaminarayan Sankul, Hospital Road, Bhuj",,ChIJJbnkMP7hUDkRbbpmCvJxDbA,,,,
,,Banks,BMCB Bank,7069016179,,,,,,,,
,,Banks,HDFC Bank,18602676161,Bhuj,"Shop No.3,4,5, Pooja A Complex, Station Road,Bhu",Private Bank,,,,,
,,Banks,ICICI Bank,9898278000,Bhuj,,ATM|Branch,,,,,
,,Banks,State Bank of India,2832250436,Bhuj,"Station Road, Bhuj",Govt Bank,,,,,
,,Beauty Parlour,R K Beauty Studio,7069096494,Bhuj,,"Facial, Hair Treatment, Bleach, Makeup, Course for students also",,,,,
,,Beauty Parlour,Sahiyar Beauty Parlour,8264584102,Bhuj,"Chatthi Bari Ring Road, Near Jay Ambe Sherdi","Alovera Wax, Hair Spa, Gold Facial, D Ten",,,,,
a96f7e15-3906-445c-b9cb-145a03fdd3c8,2026-05-22 07:11:48,Beauty Parlour,Palak Boricha ,9157304542,Bhuj,Bhuj,"Mahendi, Hair style, make-up ",,,,,
,,Bike & Car Rentals,Jolly Auto & Rental,9898985999,Bhuj,"3, dhaval commercial, opp. sagar guest house, opposite ASHAPURA PAAN, Old Dhatia Falia, Bhuj, Gujarat 370001",Bike Rental,,,,,
,,Bike & Car Rentals,Modern Auto Bike Rent,9879194944,Bhuj,"shop no 7, Jilla panchayat road, Chatthi Bari Ring Road, near sagar gest house, Ghanshyam Nagar, Bhuj, Gujarat 370001",Bike Rental,,,,,
,,Blood Bank,Jivan Jyot Blood Bank,9825258612,Bhuj,"Jeevandeep Hospital, Hospital Rd, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001",Blood Bank,,,,,
,,Blood Bank,G K General Hospital,,Bhuj,"GAIMS Campus, Bhuj, Gujarat 370001",Blood Bank,,,,,
,,Bridal Wear,Gj5 Fashion By Jeeja Fashion Bhuj,8160204404,Bhuj,"2nd Floor, Survey No.32/1, 32/2 Mid Town Mall Madvi Mirzapur Road, Mirzapur Highway, Madvi, Bhuj, Gujarat 370001",,,,,,
,,Bridal Wear,Bhoomi Wedding collection & Party wear,7777966688,Bhuj,"VBC Road, Shri kutchi dasha shrimadi jain vanik samajwadi complex, Vaniyavad Rd, Bhuj, Gujarat 370001",,,,,,
,,Bridal Wear,Nishi Bridal Studio & Wedding gallery madhapar,8866236812,Bhuj,"6MMX+GX4, Junavas, Madhapar, Bhuj, Gujarat 370020",,,,,,
,,Bridal Wear,Swissmiss..the rentier shop,9067771477,Bhuj,"6MR4+J9F, Sanskar Nagar Rd, near mangalam apartment, Sanskar Nagar, Bhuj, Gujarat 370001",,,,,,
,,Bridal Wear,Shalibhadra - The Rental Shop,9825564216,Bhuj,"Shalibhadra rental showroom, suhag chaar rasta, above himmalya showroom, Bhuj, Gujarat 370001",,,,,,
,,Builders - Developers,Jiten Thacker,9925009173,Bhuj,,,,,,,
,,CA,Jalpa Somaiya,7990326759,Bhuj,,CA,,Yes,,Yes,
,,CA,Bhavee L. Thacker,9825227449,Bhuj,,,,,,,
,,CA,CA J M JADEJA & ASSOCIATES,096019 81743,Bhuj,"208, 2nd Floor, Laxmi Chambers, Station Rd, above Darshan Auto, Jestha Nagar, Bhuj, Gujarat 370001, India",CA,ChIJLfGQrlnhUDkRQs3Hzx65K9A,,,,
,,CA,Deep Koradia & Associates,094290 42996,Bhuj,"Office No 204, 2nd Floor, PLATINUM ONE, behind Reliance Smart Mall, Bhanusali Nagar, Nirmalsinh Vadi, Bhuj, Gujarat 370001, India",CA,ChIJL37EgPvhUDkRVOEsaNtOTzs,,,,
,,CA,Hemen Furiya,9879379801,Bhuj,,CA,,,,,
,,CA,Jitendra Thacker,9825537937,Bhuj,,CA,,,,,
,,CA,Karan Thacker & Co,9979878590,Bhuj,,CA,,,,,
,,CA,Mahesh N. Vora & Co.,096876 76557,Bhuj,"opp. Sinchai Sadan, near IMA house, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001, India",CA,ChIJWfttJ54fUTkRzLszGDcjaE0,,,,
,,CA,MANAD ANJARIYA,9409475070,Bhuj,,CA,,,,,
,,CA,Zahir meman,9825235019,Bhuj,,CA,,,,,
,,CA,CA. Kaushal N. Vora,8401299028,Bhuj,Bankers Colony,,,,,,
,,CA ( Chartered Accountants ),RITU PUNIT THACKER (Prop.R.Navinchandra & Co.),9925314976,Bhuj,"211, JV SQAURE 2, SANSKARNAGAR, BHUJ-KACHCHH","GST , INCOME TAX, CONSULTANCY",,,,,
,,CA ( Chartered Accountants ),RITU PUNIT THACKER (Prop. R.Navinchandra & Co.,9925314976,Bhuj,"211, JV SQUARE-2, SANSKARNAGAR, BHUJ","GST , INCOME TAX, ACCOUNTING , CONSULTANCY",,,,,
,,CA ( Chartered Accountants ),I H DESAI AND CO,9033493970,Bhuj,"1st Floor, Jyoti Chambers, Opp Mahavir Electric, New Station Road","Income Tax, GST, Audit, Accounts",,,,,
4da548c0-fdc4-4ef3-b561-04e1f1afbf01,2026-05-22 07:15:14,CA ( Chartered Accountants ),CA J M JADEJA & ASSOCIATES,9601981743,Bhuj,Bhuj,Chartered accountant,,,,,
,,Cafes Tea & Coffee,Tea O clock,7016833634,Bhuj,"Commerce College Rd, New Raval wadi, Sanskar Nagar, Bhuj, Gujarat 370001",Open till 4 AM,,,,,
,,Cafes Tea & Coffee,Coffea Brew on the Rocks,8780866981,Bhuj,"Shop No. 1 & 2, Cornerstone Building, near Dr. Nishant Pujara Hospital, Aiya Nagar, Bhuj, Gujarat 370001",,,,,,
,,Car Accessories,,,Bhuj,,,,,,,
,,Car Driving School,Meena Motor Driving School,9879934959,Bhuj,"102, Indraprasth Appartment, Sanskar Nagar, Bhuj, Gujarat 370001",,,,,,
,,Car Driving School,Maa Driving School,9725206123,Bhuj,"6MR8+HG4, Aaiya Appartement , c/o Maa Ashapura News, Jubilee Cir, near HDFC Bank, Bhuj, 370001",,,,,,
,,Car Driving School,Gujarat Motor Driving School (Govt. Approved),9726613365,Bhuj,"Shop No :- 6, Old Dr. Rajaram Complex, Hospital Rd, opposite Lenskart Store, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Car Driving School,"Maruti Driving School ( K D Motors, Bhuj, Uma Nagar)",9909953052,Bhuj,"Plot no. 5, 6 & 14, Mirzapar, Highway, Uma Nagar Rd, Uma Nagar, Bhuj, Gujarat 370040",,,,,,
,,Car Mechanic,"BM KIA, BHUJ, SERVICE",063599 99815,Mirjapar Part,"Survey No.6/1, Plot 1-2, Mirzapar Bypass Rd, Bhuj, Mirjapar Part, Gujarat 370040, India",Cars,ChIJr8sNB5gfUTkRpiRnu6XYIxQ,,,,
,,Car Mechanic,GOLDEN AUTO INDUSTRIES,099786 20156,Bhuj,"New Station Rd, Dharanagar Kodki, Old Dhatia Falia, Bhuj, Gujarat 370001, India",Cars,ChIJ-x9l9G_hUDkR9xSOgkoQwcg,,,,
,,Car Mechanic,Krupali Motor Garage,,Bhuj,"6MP3+HGQ, Brahm Samaj Rd, Shivkrupa Nagar, Bhuj, Gujarat 370001",Cars,6MP3+HGQ,,,,
,,Car Mechanic,Shiv Shakti Motor,9913841242,Bhuj,"Â Radio Colony, Sanskar Nagar, Bhuj, Gujarat 370001",Cars,,,,,
,,Car Mechanic,Nilesh Car Care,9429100538,Bhuj,"Us pizza street, B.Ed College Rd, Bhuj, Gujarat 370001",Cars,,,,,
,,Car Mechanic,Perfect Auto Care,9157328723,Bhuj,"Â C/7-8, Katira Complex, RTO Relocation Site, opp. VBC, Bhuj, Gujarat 370001",Cars,,,,,
,,Career Counseling,,,Bhuj,,,,,,,
,,Carpenter / Furniture,Rajubhai Khatri,9725320077,Bhuj,,,,,,,
,,Carpenter / Furniture,Haresh Parmar,7016742261,Bhuj,,Carpenter,,,,,
,,Carpenter / Furniture,Kasambhai Sandh,9978765194,Bhuj,,Carpenter,,,,,
,,Carpenter / Furniture,Mahadev furniture,093277 92709,Bhuj,"Asha home 1, Navavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJA8zYk0vhUDkRT7yv8S8qVdQ,,,,
,,Carpenter / Furniture,Tushar N Jamanapara,9426211234,Bhuj,,Woodwork,,,,,
,,Caterers,Ma Ashapura Restaurant,9825229151,Bhuj,,Caterars,,,,,
,,Caterers,Om Catering,9978219580,Bhuj,,,,,,,
,,Caterers,NANDANI CATERING,,Bhuj,"Vijay Nagar Rd, opp. Shilp Electronics, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Caterers,jaliyan catering & tiffin service,9426545505,Bhuj,,,,,,,
,,CCTV Installation,Hari Tech Solutions,9825034580,Bhuj,"Dhatia Falia 3 Ways, Anam Ring Road, Bhuj","CCTV All Brands, Website Designing, Computers & Laptops",ChIJRXVUFPfjUDkRE2kKu4Zv3DQ,Yes,Yes,Yes,haritech.html
,,CCTV Installation,CLICK COMPUTERS,9426142824,Bhuj,,,,,,,
,,CCTV Installation,"Foniton - Led Tv, Flourmill Wholesaler in Bhuj",092743 74344,Bhuj,"Odhavdham Apartment, UB-3, Jubilee Cir, opp. Viram Hotel, opposite All India Radio, Banker's Colony, Bhuj, Gujarat 370001, India",,ChIJ6RxSzjgfUTkRJNqosyIovbA,,,,
,,CCTV Installation,JB IT TRADING,9978709139,Bhuj,"SHOP NO 10, GOLDEN PALACE, VIJAY NAGAR, Opp PGVCL, Bhuj",,,,,,
,,CCTV Installation,M. R. Infotech - Computer Shop | Laptop Shop | CCTV Camera Shop | Computer Repairing |,081412 30005,Bhuj,"Shop No. 103, 1st Floor, Parshwnath Complex, opp. Trust Marble, near Lemon gym, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJE9mRdvzhUDkR8RbKrZxjCMY,,,,
,,CCTV Installation,Root Infosys,095376 60455,Bhuj,"Hill View Residency, Plot no. 58, RTO Relocation Site, Madhapar, Bhuj, Gujarat 370020, India",,ChIJu8ZoKB7hUDkR3UTS-Gh9ozI,,,,
,,CCTV Installation,XLENT SERVICES,9909946618,Bhuj,"Gayatri Complex, Near Bank Of India, Hospital Road, Bhuj",,,,,,
,,CCTV Installation,Surendra H Parmar,9974436982,Bhuj,"Above Ashapura Radiyam, Nr Laxmi Library","CCTV Camera, Computer, Laptop, EPBX, Biometric System,Siren Systems",,,,,
,,CCTV Installation,Shree System,9979424154,Bhuj,"318, Shah Commercial Center, Station Road",,,,,,
,,CCTV Installation,Mithil Enterprise,9879227705,Bhuj,Shop no 3 hari bhuvan app new station road bhuj,Hari bhuvan app. Garbi chock New station road,,,,,
,,CCTV Installation,Rahul Bhagat,9712734932,Mirjapar,"Office no251 Time Square Empire,mirzapar road,bhuj","CCTV system,computer repair,catrage refilling, printer repairing",,,,,
,,CCTV Installation,SHAMSUDDIN KHATRI,8401866026,Bhuj,"shop-5,near aatmaram circle,railway station road,","cctv installation & service, computer repair and sales,printer service",,,,,
79638c89-f4c1-4c2c-ad8b-4656717a85c8,2026-05-16 09:29:47,CCTV Installation,Ujjam Computer ,9824230399,Bhuj,Shop No 4 Shanti chamber opp SBI BANK STATION Road,Cctv camera sales ,,,,,
e2a66045-dcc5-4d03-9b6d-bd9e9108af6d,2026-05-16 09:34:01,CCTV Installation,Universe Computer Care,7874544755,Bhuj,"25,Asha Complex,B/H Dilip auto agency, Station Road",CCTV for home and Industrial or Hevy Vahical camera ,,,,,
,,Choreographers / Dance,Hiten Dance Academy,9426835927,Bhuj,"C/21, Mundra Rellocation Rd, nr. Toral Garden, site, Bhuj, Gujarat 370001",,,,,,
,,Choreographers / Dance,RHYTHM The Dance Cafe,9374338800,Bhuj,"Hospital Rd, behind rajkot nagarik bank, Jubliee Colony, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Choreographers / Dance,Advaya The Dance and Wellness Studio,7862902625,Bhuj,"13/14, 1st floor, Satya Darshan apartment, Hospital Rd, near Ashapura dining hall, opposite Nagrik Bank, Vijay Nagar, Bhuj, Gujarat 370001",,,,,,
,,Choreographers / Dance,Apsara Dance & Zumba Fitness Acadmey,9227645039,Bhuj,,,,,,,
,,Civil Contractor,INTERIOR DESIGN STUDIO BY DEEP SHAH,073837 35273,Bhuj,"2, KSHETRAPAL SQUARE, 2, College Road, Shivkrupa Nagar, Bhuj, Gujarat 370001, India",,ChIJGZ66-jw0UTkRetrSPSYvWdQ,,,,
,,Civil Contractor,Katira Construction Ltd.,02832 247 248,Bhuj,"6MQM+VHR, C-42, RTO School Rd, RTO Relocation Site, Bhuj, Gujarat 370001, India",,ChIJqcH74e7hUDkRSprz6cQ1_XM,,,,
,,Civil Contractor,Leena Builders,099098 91723,Bhuj,"Leena Builders, Shree Kshetrapal 2, 203, opp. Commerce College Road, Mirzapar Road, Shivkrupa Nagar, Bhuj, Gujarat 370001, India",,ChIJ3XhdUpMdUTkRoVPIH1LLFJ4,,,,
,,Civil Contractor,Dwarika Infra Projects Co.,9825227738,Bhuj,Station Road,,,,,,
,,Civil Contractor,Jakab Kumbhar,9825242455,Bhuj,Bhuj,Excavator JCB Dumper Tractor loader,,,,,
,,Civil Engineers,Manoj Chandya,9825777378,Bhuj,,,,,,,
,,Civil Engineers,Creative Engineers,9624020330,Bhuj,"Bank of Baroda ATM, Station Road, Narnarayan Chambers, Bhuj, Gujarat 370001",,,,,,
,,Civil Engineers,Darshan Engineers,9712086659,Bhuj,"Mundra Rd, opp. DILR office, Nirmalsinh Vadi, Bhuj, Gujarat 370001",Surveyor & Consultants,,,,,
,,Civil Engineers,City Home Designs,9408717300,Bhuj,"Er. Faizal Brer, Shop No. 3, Aman Complex Aman Nagar Cross Road Atmaram, to, Station Rd, Aman Nagar, Bhuj, Gujarat 370001",,,,,,
,,Civil Engineers,Aum Shiva Consultant,8200115014,Madhapar,"Office No. 09, First Floor, Pranav Commercial, Near, Gaytri Mandir Rd, Junavas, Madhapar, Bhuj, Gujarat 370020",,,,,,
,,Cloths Merchant,Sitara Cloths Store,9998444399,Bhuj,"Near Darbargadh Gate, Shroff Bazar",,,,,,
,,Cloths Merchant,Atifa Ajarakh and Bandhani Boutique,9702376033,Bhuj,,Cloths Merchant,,,,,
,,Cloths Merchant,Kalakruti Handicraft,9558410684,Bhuj,,Cloths Merchant,,,,,
,,Cloths Merchant,Pooja h soni,9099054210,Bhuj,,Cloths Merchant,,,,,
,,Cloths Merchant,Radiant Store,096249 69996,Bhuj,"Gaytri Mandir Rd, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJr6KGhhLhUDkR5K0ombGmI_8,,,,
,,Cloths Merchant,Rivaanâ€™s Fashion Hub / Rupal S Thacker,9374205551,Bhuj,,Cloths Merchant,,,,,
,,Cloths Merchant,Satydeep Clothing Store in Bhuj,092650 81905,Bhuj,"Shiv Paras Complex Talav, Langa Sheri Rd, Old Dhatia Falia, Bhuj, Gujarat 370001, India",,ChIJBXRvBcThUDkRt-KBGE_ei9I,,,,
,,Cloths Merchant,Shreeji Collection,099786 50266,Bhuj,"Main Bazar, Mirjapar, Mirjapar Part, Bhuj, Gujarat 370040, India",,ChIJ_UnktDIfUTkRxC-aq-1Kl0Q,,,,
,,Cloths Merchant,Tip Top Under Garments,087806 84076,Bhuj,"Hospital Road, Satyadarshan Apartment Shop No.12, B/h. Shri Ambaji Temple, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJ_8yJBcYfUTkR9dKEnD2eylo,,,,
,,Cloths Merchant,Underworld Fashion Decoded,081405 85252,Bhuj,"Shop no. 3 diti arcade, Hospital Rd, opp. Dr bhadarka hospital, Vijay Nagar, Bhuj, Gujarat 370001, India",,ChIJa-EB8VPhUDkRjcXAy8fmAvo,,,,
,,Cloths Merchant,Vijaykumar A. Thacker,87806 84076,Bhuj,,Cloths Merchant,,,,,
,,Cloths Merchant,Tip Top Undergarments,8780684076,Bhuj,"Vijay nagar, Behind shri ambaji temple, Hospital Road",,,,,,
,,Cloths Merchant,Meeta Kalpesh Thacker,8735961860,Bhuj,"RTO Relocation, Bhuj",,,,,,
,,Cloths Merchant,NASIR KHATRI,9998277602,Bhuj,"139, muskan nagar bhuj",Exclusive wedding and traditional bandhani sarees,,,,,
,,Cloud Kitchen,Apnu Rasodu,9427795288,Bhuj,,Gujarati food,,,,,
,,Cloud Kitchen,Forum Shah,9978296495,Bhuj,,"Sukibhaji, Thepla, 100% fresh",,,,,
,,Coaching classes,Sunrise Tuition Classes,094086 21014,Bhuj,"First Floor, Shreeji Complex, 2, Raghuvanshi Rd, nagar, Sanskar Nagar, Bhuj, Gujarat 370001, India",,ChIJW4zFN8QfUTkRmUQbdNweWRs,,,,
,,Coaching classes,"BIJLANI CLASSES , std 1 to 10 ( all subjects) , 11,12 science ( CHEMISTRY)",9825155352,Bhuj,,Coaching classes,,,,,
,,Coaching classes,CONCEPT ACADEMY,094271 84589,Bhuj,"10/11, First Floor, Mahadev Complex, Mahadev Naka, near Hamirsar Lake, Ghanshyam Nagar, Bhuj, Gujarat 370001, India",,ChIJ2UoKtjnhUDkR50RvWz0E-MQ,,,,
,,Coaching classes,Dilclasses,092751 60815,Bhuj,"sunrise society, 32 to 34 C, Junavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJ92_TK3vhUDkRysnk7XMiI38,,,,
